"Status","Name","Duration in ms","Description"
"broken","scripts.test_contact.TestContact#test_add_contact","16862",""
"broken","scripts.test_contact.TestContact#test_add_contact","15837",""
"passed","scripts.test_mms.TestMms#test_sendMms","12957",""
"passed","scripts.test_mms.TestMms#test_sendMms","12957",""
"broken","scripts.test_contact.TestContact#test_add_contact","16006",""
